Unnamed: 0,title,description,cat2_slug,cat3_slug,city_slug,city_category,building_size,land_size,rooms_count,construction_year,floor,total_floors_count,building_direction,floor_material,deed_type,building_age,user_type,price_value,credit_value,rent_value,has_elevator,has_parking,has_storage,has_balcony,has_security,has_pool,has_sauna,has_jacuzzi,has_gym,has_lobby,has_video_intercom,has_remote_door,has_central_vacuum,has_barbecue,is_rebuilt,has_business_deed,location_latitude,location_longitude,location_radius,created_at,created_at_month,price_mode,credit_mode,rent_mode,rent_to_single,rent_type,rent_credit_transform,transformable_price,transformable_credit,transformed_credit,transformable_rent,transformed_rent,has_water,has_electricity,has_gas,regular_person_capacity,extra_person_capacity,cost_per_extra_person,rent_price_on_regular_days,rent_price_on_special_days,rent_price_at_weekends,property_type,has_roof_garden,has_guard,has_master_room,neighborhood_slug
24,Property listing 24,A nice property with 4 bedrooms,apartment-sell,residential,isfahan,major,141.0,426.0,4_rooms,1402,14,13.0,west,laminate,cooperative,new,agency,,213207408.0029547,,false,true,false,unselect,true,unselect,unselect,false,true,false,false,false,unselect,false,,,34.083938170033605,53.594904454442116,1000,2023-01-05 00:00:00,Aban,agreeable,fixed,fixed,False,,,,,37982220.96019521,False,794917.4835268747,False,,True,4,,100000,500000,800000,1200000,,false,false,false,neighborhood_3
25,Property listing 25,A nice property with 2 bedrooms,land-sell,commercial,mashhad,major,248.0,69.0,5plus_rooms,1398,9,6.0,north-west,mosaic,endowment,1-5,personal,,,43639637.834119864,true,false,false,true,false,unselect,false,true,false,true,false,true,false,unselect,False,False,34.881525243465575,52.37406756845546,100,2023-01-05 04:00:00,Farvardin,fixed,agreeable,fixed,,monthly,False,True,,208486206.7427895,True,7600472.0596097745,True,,True,2,1,,500000,,600000,land,true,true,false,neighborhood_1
26,Property listing 26,A nice property with 2 bedrooms,house-rent,office,shiraz,major,330.0,119.0,2_rooms,1400,8,18.0,north-west,parquet,endowment,new,agency,,,7793973.926551882,true,true,true,unselect,true,unselect,false,unselect,unselect,true,false,true,false,false,False,True,34.80764360772777,50.82990931062589,200,2023-01-05 08:00:00,Mordad,,fixed,agreeable,,daily,False,False,True,286087778.204969,,4448029.91036633,False,,True,4,1,,500000,,,apartment,false,true,false,neighborhood_1
27,Property listing 27,A nice property with 2 bedrooms,house-sell,shop,shiraz,major,393.0,260.0,2_rooms,1395,18,2.0,east,parquet,endowment,10-20,agency,,,7238282.0585895255,false,true,false,true,true,false,true,false,true,false,unselect,unselect,false,false,,True,33.80377728870491,51.04852420178171,100,2023-01-05 12:00:00,Esfand,,fixed,fixed,,monthly,False,,False,112926591.28887506,False,7261811.2200001525,,,,8,3,200000,500000,,600000,villa,true,false,true,neighborhood_3
28,Property listing 28,A nice property with 4 bedrooms,apartment-sell,office,tabriz,minor,325.0,150.0,2_rooms,1395,2,8.0,south,parquet,official,new,personal,47518933258.20921,5277278948.007264,,false,false,false,false,true,true,false,false,true,false,unselect,false,false,true,False,False,34.08911594515578,51.72992292167248,1000,2023-01-05 16:00:00,Shahrivar,,fixed,,True,daily,True,,False,65690429.34064673,,6822871.217636975,,,False,2,,200000,1000000,,,apartment,true,true,false,neighborhood_4
29,Property listing 29,A nice property with 4 bedrooms,house-rent,commercial,tabriz,major,155.0,181.0,4_rooms,1397,10,11.0,south,laminate,endowment,10-20,personal,26830879625.755886,9299406118.115852,48053051.56611126,unselect,true,unselect,false,true,unselect,unselect,unselect,unselect,false,true,false,true,unselect,True,False,34.065314890034564,50.48817424811925,1000,2023-01-05 20:00:00,Ordibehesht,agreeable,,,,monthly,False,,,755607713.5017983,True,1353624.617602578,,,True,6,3,100000,,,1200000,land,unselect,true,true,neighborhood_1
30,Property listing 30,A nice property with 1 bedrooms,land-sell,commercial,tehran,major,303.0,430.0,3_rooms,1396,0,1.0,west,parquet,official,new,agency,19770105680.535408,,,unselect,true,true,unselect,unselect,true,false,false,false,false,unselect,false,true,unselect,False,True,34.76628151107222,50.31493347305393,1000,2023-01-06 00:00:00,Dey,agreeable,agreeable,,False,monthly,,False,False,164276565.90225735,,1428879.341922672,,,False,6,,100000,500000,800000,,apartment,false,unselect,true,neighborhood_4
31,Property listing 31,A nice property with 1 bedrooms,house-rent,office,isfahan,minor,189.0,181.0,1_room,1398,17,6.0,north,ceramic,cooperative,new,personal,42425336114.78948,4909586476.392139,40267205.2377182,false,true,true,false,false,false,false,false,false,unselect,unselect,true,unselect,false,False,False,32.1917007038241,52.72024558299182,100,2023-01-06 04:00:00,Mordad,agreeable,,,True,daily,False,True,,913922199.066304,False,7553420.154341339,False,,True,6,1,200000,,800000,,land,unselect,true,true,neighborhood_4
32,Property listing 32,A nice property with 4 bedrooms,apartment-sell,shop,tabriz,capital,339.0,69.0,2_rooms,1401,3,16.0,north,parquet,cooperative,20+,agency,24699837251.858643,1206270417.1203136,,unselect,false,false,true,unselect,true,unselect,unselect,false,false,false,true,false,true,False,,34.839584435484895,51.62866024835648,1000,2023-01-06 08:00:00,Shahrivar,,fixed,agreeable,,monthly,False,True,True,367999661.44809604,,7212682.934854172,,,,8,2,100000,1000000,800000,1200000,apartment,unselect,false,false,neighborhood_1
33,Property listing 33,A nice property with 2 bedrooms,house-rent,shop,shiraz,minor,481.0,585.0,5plus_rooms,1396,6,12.0,north-west,mosaic,endowment,1-5,personal,,,,false,unselect,unselect,false,true,unselect,true,false,false,false,false,false,false,true,False,,34.32880360302915,52.90490316748111,500,2023-01-06 12:00:00,Azar,agreeable,agreeable,fixed,True,,,False,False,670605809.7213454,,3780307.6687431037,False,,True,6,2,200000,500000,1500000,1200000,,unselect,unselect,false,neighborhood_4
34,Property listing 34,A nice property with 2 bedrooms,apartment-rent,residential,mashhad,capital,75.0,276.0,5plus_rooms,1395,5,11.0,north-west,mosaic,official,1-5,personal,24566593221.55043,,12489716.332375327,unselect,false,unselect,false,false,true,unselect,false,true,false,true,false,false,unselect,True,,32.7924348586863,50.44023280175048,200,2023-01-06 16:00:00,Dey,fixed,,agreeable,True,monthly,,False,True,225402114.76880023,True,774222.6333284008,False,False,,2,1,,1000000,,,,unselect,unselect,unselect,neighborhood_1
35,Property listing 35,A nice property with 1 bedrooms,house-rent,shop,shiraz,minor,492.0,203.0,2_rooms,1396,12,10.0,north-east,mosaic,endowment,5-10,agency,,8997128768.829428,24551753.38730804,true,false,unselect,true,true,true,true,unselect,unselect,unselect,false,unselect,true,unselect,,True,32.19623541498506,52.439462191604385,1000,2023-01-06 20:00:00,Farvardin,,fixed,,False,,True,False,,240322768.49186686,True,120980.21698452199,True,True,False,6,2,,500000,1500000,600000,villa,unselect,unselect,unselect,neighborhood_3
36,Property listing 36,A nice property with 4 bedrooms,house-sell,office,isfahan,minor,372.0,518.0,2_rooms,1395,1,3.0,west,laminate,endowment,20+,personal,41613882930.2338,9109133961.100657,28039607.943174258,unselect,false,unselect,unselect,false,false,false,false,unselect,unselect,unselect,false,unselect,false,False,False,32.43411116223155,51.773227173478965,1000,2023-01-07 00:00:00,Dey,agreeable,agreeable,fixed,True,,,False,True,574709202.8675753,True,2881569.4946174487,False,True,,2,2,,500000,1500000,600000,villa,false,false,true,neighborhood_3
37,Property listing 37,A nice property with 1 bedrooms,house-sell,commercial,shiraz,major,326.0,454.0,1_room,1396,16,13.0,east,mosaic,official,20+,agency,20235647622.76654,,31956967.338985015,true,true,false,unselect,unselect,false,true,false,true,unselect,true,true,true,unselect,False,,34.09876536567708,50.231994617828114,200,2023-01-07 04:00:00,Khordad,,agreeable,agreeable,,monthly,,True,False,560642925.1459861,True,92222.73587226938,False,True,False,8,,100000,,1500000,1200000,land,unselect,false,unselect,neighborhood_3
38,Property listing 38,A nice property with 1 bedrooms,apartment-rent,residential,tehran,capital,342.0,251.0,2_rooms,1397,14,3.0,east,laminate,endowment,1-5,personal,16731663007.539198,,13598806.695936032,true,unselect,unselect,false,false,true,true,false,true,true,true,true,unselect,false,True,False,35.03363412036513,52.17920791310391,200,2023-01-07 08:00:00,Esfand,,fixed,fixed,True,,,,True,768729228.0120813,False,2300726.211037034,True,,,4,3,,1000000,,600000,land,true,false,true,neighborhood_3
39,Property listing 39,A nice property with 3 bedrooms,apartment-sell,residential,isfahan,major,350.0,87.0,1_room,1399,17,15.0,west,laminate,cooperative,20+,personal,,,,unselect,false,true,true,true,true,true,false,true,unselect,false,true,unselect,true,True,,33.33862914849801,50.33121709885818,200,2023-01-07 12:00:00,Azar,agreeable,agreeable,,True,,False,,False,757813305.694266,,4195007.4021133855,,True,True,,,100000,1000000,1500000,1200000,land,true,true,unselect,neighborhood_3
40,Property listing 40,A nice property with 3 bedrooms,house-sell,commercial,mashhad,capital,247.0,237.0,5plus_rooms,1397,17,16.0,east,parquet,endowment,1-5,personal,,7787373641.816018,9318166.412149657,false,false,true,unselect,false,true,false,unselect,unselect,false,false,unselect,true,unselect,True,False,33.516495642820885,53.31087899116403,100,2023-01-07 16:00:00,Farvardin,,agreeable,,False,monthly,True,False,False,670687764.6636611,,1214157.653119542,,,True,6,3,,1000000,,,apartment,false,true,false,neighborhood_4
41,Property listing 41,A nice property with 3 bedrooms,land-sell,shop,tehran,minor,145.0,106.0,2_rooms,1397,16,13.0,north,ceramic,official,20+,personal,11993026810.337048,,48317005.563554205,true,unselect,false,unselect,false,false,true,true,unselect,unselect,false,false,true,true,False,,35.73658566018445,52.527829861560114,100,2023-01-07 20:00:00,Farvardin,agreeable,,fixed,False,daily,,False,False,449130565.89349097,,1042777.5783154625,False,False,,,3,100000,,,,apartment,true,unselect,false,neighborhood_4
42,Property listing 42,A nice property with 2 bedrooms,house-sell,commercial,isfahan,minor,485.0,69.0,4_rooms,1399,18,17.0,east,parquet,official,new,personal,,,1727950.0028676856,true,unselect,unselect,false,unselect,false,true,true,unselect,unselect,true,true,unselect,true,,,32.852052336130306,52.22787013504179,1000,2023-01-08 00:00:00,Farvardin,agreeable,agreeable,fixed,,daily,,,False,890640386.2806171,,8964374.357187366,True,True,False,4,2,100000,,,600000,apartment,unselect,unselect,true,neighborhood_4
43,Property listing 43,A nice property with 4 bedrooms,house-sell,shop,mashhad,capital,197.0,322.0,4_rooms,1399,14,3.0,east,parquet,cooperative,1-5,agency,24375490010.0479,352636034.0200836,24575158.899025436,unselect,unselect,unselect,true,true,true,false,false,false,false,false,unselect,true,false,True,,32.414997698301406,50.53387601787863,200,2023-01-08 04:00:00,Mehr,agreeable,,,False,,,True,False,622578490.2212987,False,5854700.290228892,False,False,False,8,3,200000,1000000,1500000,1200000,villa,true,false,true,neighborhood_2
44,Property listing 44,A nice property with 4 bedrooms,apartment-sell,commercial,tehran,major,160.0,168.0,5plus_rooms,1402,6,11.0,west,laminate,official,1-5,personal,16768872866.155983,4980685173.053371,,false,true,unselect,unselect,false,false,unselect,unselect,true,unselect,unselect,unselect,true,true,True,,33.373640455200075,51.14982845401633,1000,2023-01-08 08:00:00,Mordad,,,agreeable,,,False,False,,990198490.4623572,True,9344556.867627814,False,False,False,8,3,200000,1000000,,600000,land,unselect,false,false,neighborhood_2
45,Property listing 45,A nice property with 4 bedrooms,house-rent,office,tehran,major,94.0,565.0,1_room,1402,-1,19.0,west,laminate,official,10-20,agency,5430367548.9031315,,23007047.28258229,false,unselect,unselect,false,unselect,unselect,unselect,unselect,true,true,true,true,unselect,false,True,,34.983688477969096,51.9715035885412,1000,2023-01-08 12:00:00,Shahrivar,,,,,daily,False,False,True,819369817.9343586,,3458261.637856792,,,,4,1,200000,500000,,600000,apartment,false,true,false,neighborhood_1
46,Property listing 46,A nice property with 4 bedrooms,house-sell,shop,isfahan,major,439.0,270.0,4_rooms,1398,15,11.0,east,mosaic,cooperative,20+,personal,12018373504.139986,,,unselect,true,false,false,false,false,unselect,false,true,unselect,false,unselect,unselect,false,,,34.50430916422453,52.53313405455875,1000,2023-01-08 16:00:00,Aban,agreeable,,fixed,False,,True,True,,44309811.23832622,,6771449.373291631,True,True,,,3,100000,500000,800000,,villa,true,true,false,neighborhood_2
47,Property listing 47,A nice property with 3 bedrooms,apartment-rent,office,tabriz,major,51.0,575.0,1_room,1401,10,16.0,south,mosaic,endowment,20+,agency,47469130470.62359,3656825191.259089,,false,false,unselect,false,true,false,false,true,unselect,true,unselect,unselect,false,true,False,,33.66318175747828,50.73292287496862,100,2023-01-08 20:00:00,Ordibehesht,,agreeable,agreeable,True,daily,True,True,True,320593907.08031774,True,2046916.746217904,False,False,,6,1,200000,,1500000,600000,,true,false,unselect,neighborhood_3
48,Property listing 48,A nice property with 2 bedrooms,house-rent,residential,tehran,minor,184.0,564.0,4_rooms,1401,19,3.0,west,parquet,cooperative,1-5,personal,,,21327495.664778154,unselect,true,false,false,false,false,false,false,true,true,unselect,true,true,true,False,,35.859010131327324,50.035465112534496,200,2023-01-09 00:00:00,Ordibehesht,agreeable,agreeable,,False,monthly,False,True,True,571875716.4709517,True,6183403.172799412,,True,,2,,200000,500000,800000,,land,true,false,unselect,neighborhood_3
49,Property listing 49,A nice property with 2 bedrooms,land-sell,commercial,tehran,minor,439.0,385.0,4_rooms,1398,9,6.0,north-east,stone,endowment,new,agency,8526078539.415062,,,unselect,unselect,unselect,unselect,false,unselect,unselect,unselect,true,true,false,unselect,unselect,false,False,,34.93998575317829,51.379040749077184,1000,2023-01-09 04:00:00,Khordad,fixed,,fixed,True,,,False,True,721469537.8714871,,1295857.300099844,False,False,False,8,2,200000,1000000,800000,1200000,,false,true,unselect,neighborhood_3
50,Property listing 50,A nice property with 3 bedrooms,apartment-sell,residential,mashhad,minor,435.0,104.0,1_room,1397,3,14.0,north-east,stone,cooperative,new,agency,23087572303.58416,753539900.2007715,34607937.47923677,unselect,true,unselect,true,false,unselect,true,unselect,false,false,unselect,true,true,false,True,False,32.24744569753317,51.93148581822497,100,2023-01-09 08:00:00,Khordad,,agreeable,fixed,True,monthly,,True,,550336497.7619414,True,20806.39176285759,,False,False,4,3,100000,1000000,1500000,600000,villa,false,unselect,unselect,neighborhood_1
51,Property listing 51,A nice property with 2 bedrooms,land-sell,residential,shiraz,minor,175.0,549.0,3_rooms,1397,10,18.0,north,mosaic,endowment,new,personal,15423678393.676409,,,true,unselect,true,false,false,unselect,unselect,true,unselect,unselect,true,true,true,true,False,False,34.978525775416195,50.737734022387215,500,2023-01-09 12:00:00,Khordad,,,fixed,,daily,True,False,False,786130422.4621818,,9315318.01409579,True,,,,1,100000,500000,800000,,land,true,unselect,true,neighborhood_1
52,Property listing 52,A nice property with 3 bedrooms,house-rent,residential,isfahan,minor,42.0,585.0,4_rooms,1395,15,17.0,east,stone,cooperative,20+,personal,,1834425051.22848,,true,true,false,false,true,true,false,unselect,true,true,true,unselect,unselect,false,True,True,32.09615422362344,51.968662023420826,500,2023-01-09 16:00:00,Tir,fixed,,agreeable,,daily,,False,False,282655652.7573446,,5548943.761752093,False,True,,6,,200000,500000,,600000,apartment,false,true,true,neighborhood_1
